Назва фільму,Рейтинг,Слоган,Дата выхода,Страна,Режиссер,Жанр,В качестве,В переводе,Возраст,Время,Из серии
Звёздные войны: Бракованная партия,"IMDb: 7.8 (45 089)
Кинопоиск: 7.41 (7 499)",##,4 мая 2021 года,США,"Брэд Рау, Стюарт Ли, Натаниэл Вильянуэва, Сол Руис","Фантастика, Фэнтези, Боевики, Драмы, Приключения, Семейные, Мультсериалы, Зарубежные",720p,##,##,25 мин.,"Мультфильмы 2021 года, Мультфильмы Дисней, Мультфильмы про друзей, Мультфильмы про злодеев, Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про путешествия, Мультфильмы про роботов, Мультфильмы про сверхспособности"
Клонические войны / Звездные Войны: Войны Клонов,"IMDb: 7.8 (27 766)
Кинопоиск: 7.18 (3 407)",«The Revenge Begins»,10 ноября 2003 года,"США, Корея Южная",Геннди Тартаковски,"Фантастика, Фэнтези, Боевики, Приключения, Мультсериалы, Зарубежные",720p,##,##,133 мин.,Мультфильмы про космос
Звездные войны: Войны клонов,"IMDb: 8.4 (108 231)
Кинопоиск: 7.59 (68 635)",«The new saga continues...»,15 августа 2008 года,США,"Дэйв Филони, Брайан О’Коннелл, Стюарт Ли, Кайл Данливи","Фантастика, Фэнтези, Боевики, Приключения, Драмы, Мультсериалы, Зарубежные",720p,##,"6+ можно смотреть всей семьей, дети могут задавать вопросы и отвлекать",22 мин.,"Мультфильмы Дисней, Мультфильмы про друзей, Мультфильмы про злодеев, Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про путешествия, Мультфильмы про роботов, Мультфильмы про сверхспособности"
Звездные войны: Эпизод 1 – Скрытая угроза,"IMDb: 6.5 (830 217)
Кинопоиск: 7.93 (348 835)",«У каждой саги есть начало»,16 мая 1999 года,США,Джордж Лукас,"Фэнтези, Боевики, Приключения, Фантастика, Зарубежные",720p,"Дубляж, Tycoon, Киномания, Гоблин, Гаврилов, Живов, Украинский дубляж, Украинский (ICTV) и Оригинал (+субтитры)",0+ можно смотреть всей семьей и наслаждаться просмотром,136 мин.,"Фильмы про инопланетян, Фильмы про космос, Фильмы про приключения и путешествия"
Звездные войны: Эпизод 2 – Атака клонов,"IMDb: 6.6 (733 408)
Кинопоиск: 7.99 (288 761)",«Size matters not. Except on an IMAX Screen»,12 мая 2002 года,США,Джордж Лукас,"Фэнтези, Боевики, Приключения, Фантастика, Зарубежные",720p,"Дубляж, Tycoon, Гаврилов, Живов, Гланц, Украинский дубляж, Украинский многоголосый и Оригинал (+субтитры)",0+ можно смотреть всей семьей и наслаждаться просмотром,142 мин.,"Фильмы про войну, Фильмы про инопланетян, Фильмы про космос, Фильмы про приключения и путешествия"
Звездные войны: Эпизод 3 – Месть Ситхов,"IMDb: 7.6 (815 308)
Кинопоиск: 8.11 (366 932)",«Сага окончена»,12 мая 2005 года,США,Джордж Лукас,"Фэнтези, Боевики, Приключения, Фантастика, Зарубежные",720p,"Дубляж, Tycoon, Гаврилов, Королёв, Украинский дубляж, Украинский (ICTV) и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты",140 мин.,"Фильмы про войну, Фильмы про инопланетян, Фильмы про космос, Фильмы про приключения и путешествия"
Звездные войны: Эпизод 4 – Новая надежда,"IMDb: 8.6 (1 405 476)
Кинопоиск: 8.12 (316 802)",«Coming to your galaxy this summer»,25 мая 1977 года,США,Джордж Лукас,"Фэнтези, Боевики, Приключения, Фантастика, Зарубежные",720p,"Дубляж, Киностудия им. Горького, Киномания, РТР, ОРТ, Карусель, Tycoon, Кашкин, Латышев, Гаврилов, Гланц, Белов, Живов, Сербин, Дольский, Михалев, Горчаков, Володарский, Украинский дубляж, Украинский (1+1) и Оригинал (+субтитры)",0+ можно смотреть всей семьей и наслаждаться просмотром,121 мин.,"Фильмы про дружбу, Фильмы про инопланетян, Фильмы про космос, Фильмы про приключения и путешествия"
Звездные войны: Эпизод 5 – Империя наносит ответный удар,"IMDb: 8.7 (1 333 441)
Кинопоиск: 8.14 (295 859)",«The battle continues...»,17 мая 1980 года,США,Ирвин Кершнер,"Фантастика, Фэнтези, Боевики, Приключения, Зарубежные",720p,"Дубляж, Tycoon, Киномания, РТР, ОРТ, Гаврилов, Живов, Сербин, Дольский, Володарский, Гланц, Белов, Латышев, Украинский дубляж, Украинский многоголосый и Оригинал (+субтитры)",0+ можно смотреть всей семьей и наслаждаться просмотром,124 мин.,"Фильмы про войну, Фильмы про инопланетян, Фильмы про космос, Фильмы про приключения и путешествия"
Звездные войны: Эпизод 6 – Возвращение Джедая,"IMDb: 8.3 (1 086 957)
Кинопоиск: 8.15 (278 931)",«The Saga Continues»,25 мая 1983 года,США,Ричард Маркуанд,"Фантастика, Боевики, Приключения, Зарубежные",720p,"Дубляж, Tycoon, Киномания, РТР, ОРТ, Гаврилов, Живов, Сербин, Дольский, Володарский, Гланц, Белов, Латышев, Украинский дубляж, Украинский многоголосый и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты",131 мин.,"Фильмы про войну, Фильмы про инопланетян, Фильмы про космос, Фильмы про приключения и путешествия"
Звездные войны: Повстанцы,"IMDb: 8.0 (50 587)
Кинопоиск: 6.98 (15 640)",«Their greatest strength will be each other»,10 августа 2014 года,США,"Дэйв Филони, Стюарт Ли, Боско ЭнДжи, Сол Руис","Фантастика, Фэнтези, Боевики, Приключения, Семейные, Мультсериалы, Зарубежные",720p,##,"6+ можно смотреть всей семьей, дети могут задавать вопросы и отвлекать",22 мин.,"Мультфильмы Дисней, Мультфильмы про друзей, Мультфильмы про злодеев, Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про приключения, Мультфильмы про путешествия, Мультфильмы про роботов"
